combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,S08,0,True,False,,0.652,0.0,0.652,True,True,False,False,"no dodge fired | OFF-TARGET: spec miss 0.00 m, measured 0.65 m — aiming, not trigger",False,10.381,1.05,0.255,-0.14,-0.527,0.357,-0.811,-0.528,-0.008,7.916,0.75,0.634,,,3.353,,,
baseline,S08,1,True,True,19.0,0.309,0.0,0.309,False,True,True,False,clean dodge,False,2.178,1.05,0.25,-0.141,-0.158,-0.226,0.538,0.107,-0.034,8.043,0.75,0.797,0.06,0.276,3.286,3,0.166,1
baseline,S08,2,True,True,19.0,0.346,0.0,0.346,False,True,True,False,clean dodge,False,2.173,1.05,0.238,-0.165,-0.182,-0.244,0.595,0.128,-0.035,8.042,0.75,0.8,0.09,0.616,3.399,3,0.168,1
baseline,S14,0,True,True,17.0,0.197,0.0,0.197,False,True,False,False,dodged but min_dist 0.20 <= hit_radius,False,2.169,1.014,0.314,-0.028,-0.16,-0.111,0.401,0.123,-0.021,13.546,0.714,0.744,0.0,0.137,3.258,3,0.168,1
baseline,S14,1,True,False,,0.207,0.0,0.207,False,True,False,False,no dodge fired,False,2.175,1.014,0.266,0.015,-0.139,-0.152,0.438,0.144,-0.038,14.0,0.714,0.751,,,3.216,,,
baseline,S14,2,True,False,,0.338,0.0,0.338,False,True,False,False,no dodge fired,False,2.099,1.014,0.26,-0.196,-0.224,-0.16,0.697,0.108,-0.033,14.074,0.714,0.746,,,3.165,,,
baseline,S20,0,True,False,,0.253,0.0,0.253,False,True,False,False,no dodge fired,False,2.014,1.05,0.273,-0.016,-0.226,-0.113,0.489,0.137,-0.031,20.214,0.75,0.786,,,3.221,,,
baseline,S20,1,True,,,,,,,,False,True,spawn z=0.03 < 0.3,,,,,,,,,,,,,,,,,,,
baseline,S20,2,True,,,,,,,,False,True,spawn z=0.03 < 0.3,,,,,,,,,,,,,,,,,,,
baseline,S20N,0,False,,,,,,,,False,True,spawn z=0.03 < 0.3,,,,,,,,,,,,,,,,,,,
baseline,S20N,1,False,,,,,,,,False,True,spawn z=0.03 < 0.3,,,,,,,,,,,,,,,,,,,
