combo,id,rep,expect_dodge,dodged,latency_ms,min_dist_m,spec_miss_m,aim_err_m,off_target,steady,success,error,note,skipped,window_s,needed_window_s,spawn_dead_s,miss_along_m,miss_cross_m,miss_vert_m,lead_along_m,lead_cross_m,lead_vert_m,ball_speed_mps,t_flight_assumed_s,flight_to_ca_s,tca_s,trigger_miss_m,first_det_range_m,track_updates,track_age_s,n_hypotheses
baseline,S08,0,True,True,19.0,0.272,0.0,0.272,False,True,False,False,dodged but min_dist 0.27 <= hit_radius,False,2.175,1.05,0.269,-0.13,-0.176,-0.161,0.421,0.141,-0.026,8.043,0.75,0.784,0.29,0.421,9.901,3,0.152,2
baseline,S08,1,True,True,21.0,0.144,0.0,0.144,False,True,False,False,dodged but min_dist 0.14 <= hit_radius,False,1.197,1.05,0.297,0.007,-0.089,-0.113,-0.074,0.185,-0.036,8.043,0.75,0.768,0.21,0.382,8.81,3,0.138,2
baseline,S08,2,True,True,18.0,0.337,0.0,0.337,False,True,True,False,clean dodge,False,1.577,1.05,0.288,-0.027,-0.197,-0.272,0.519,0.105,-0.038,8.0,0.75,0.807,0.37,0.656,9.976,3,0.171,2
baseline,S14,0,True,True,19.0,0.196,0.0,0.196,False,True,False,False,dodged but min_dist 0.20 <= hit_radius,False,2.169,1.014,0.26,-0.011,-0.139,-0.137,0.458,0.124,-0.02,14.075,0.714,0.749,0.3,0.453,11.842,4,0.393,2
baseline,S14,1,True,True,20.0,0.222,0.0,0.222,False,True,False,False,dodged but min_dist 0.22 <= hit_radius,False,2.172,1.014,0.287,-0.046,-0.163,-0.143,0.491,0.124,-0.031,14.0,0.714,0.749,0.35,0.431,11.895,3,0.253,2
baseline,S14,2,True,True,19.0,0.223,0.0,0.223,False,True,False,False,dodged but min_dist 0.22 <= hit_radius,False,1.615,1.014,0.253,-0.045,-0.16,-0.149,0.479,0.116,-0.033,14.075,0.714,0.753,0.36,0.15,11.901,3,0.239,2
baseline,S20,0,True,True,18.0,0.356,0.0,0.356,False,True,True,False,clean dodge,False,2.166,1.05,0.271,-0.135,-0.296,-0.146,0.692,0.129,-0.037,20.107,0.75,0.776,0.36,0.542,11.738,3,0.169,1
baseline,S20,1,True,True,20.0,0.24,0.0,0.24,False,True,False,False,dodged but min_dist 0.24 <= hit_radius,False,2.159,1.05,0.257,0.071,-0.198,-0.115,0.493,0.086,-0.027,20.105,0.75,0.8,0.29,0.174,11.607,3,0.153,1
baseline,S20,2,True,,,,,,,,False,True,spawn z=0.03 < 0.3,,,,,,,,,,,,,,,,,,,
baseline,S20N,0,False,,,,,,,,False,True,spawn z=0.03 < 0.3,,,,,,,,,,,,,,,,,,,
baseline,S20N,1,False,,,,,,,,False,True,spawn z=0.03 < 0.3,,,,,,,,,,,,,,,,,,,
